_id,title,content,image1,image2,date,__v,video
67055e9ab39b65be49e4000a,Our First Day Officially -Llen,"Mahal i hope youd see this message, i just want to thankyou, i dont really expect it to be so early yet im happy. I wanna cry so bad, because for all things weve been through, e nandto na tayo. Maraming salamat mahal ko, I promise to take care of you, i will not leave you, mahal na mahal kita im with you, till the end i love you so so much",1728405145728.jpg,1728405146008.jpg,2024-10-08T03:06:33.081Z,0,
6705f339b39b65be49e40019,You are my 1st and 8 💖,"Everything is unexpected mahal ko, Imagine our first encounter is not that good. I hate you at first and hindi ko ineexpect na sayo ko pala una maibibigay yung yes and my first kiss. Even though hindi ikaw yung first love ko. I promise na ikaw ang last and my forever. I love you mahal ko, i love everything about you. \r\nThis is our first day, and I hope and pray na kahit anong mangyari makayanan natin at maingatan ang relation meron tayo. I'm so happy na I am your official girlfriend now and you are my first boyfriend. \r\n I LOVE YOU MAHAL KO. This diary will witness our love story. So let's full this diary with happy memories. \r\n\r\nhuhuhu wag kang magsisi mafall in love sa akin ikaw tong unang nangasar eh. \r\n\r\nI love youuuuu mahal ko 💖\r\n\r\n-🌻",1728443188732.jpeg,1728443189433.jpeg,2024-10-08T03:06:33.081Z,0,
67069e99b39b65be49e40036,Goodnight🌙,"Everything is normal. Kumain, naglaba, and pumasok ng school. Pero noong nakita kita ewan ko ba nafafall ako sayo lalo and narealized ko na ""shocks boyfriend ko na pala talaga tong lalake na to."" Apakaswerte ko for having you and naging parte ng buhay ko. You always do things for me. I'm very sorry for not doing the same to you. Sorry if I just take what you give but I don't give anything to you. Sorry for being reason why you always crying every night. I hope someday, your night will be good and have peace. If you think I am dissapointed to you because you raised your concerns and feelings. No, I am not dissapointed to you mahal ko, I am dissapointed to myself because I don't know How I comfort you. Sorry, you need to be hurt always just to love me. Sorry for being your girl mahal ko. But I will never let you go. I don't give you to others. We promised to each other na tayo na dulo. So, watch me to grow with you. Hinding hndi ako mapapagod sa pagintindi sayo mahal ko kahit gaano ka pa kadrama dyan sasabayan pa kita kung gusto mo. \r\n\r\nMahal I love you and Good night 🌙 Umpisa palang ang lahat madami pa tayo mapagdadaanan na mas mabigat pa here💖\r\nSweet dreams Goodnight and sleep well \r\n~🌻\r\n",1728487062519.jpeg,1728487064742.jpeg,2024-10-09T15:17:45.664Z,0,
6706a2a5b39b65be49e40039,Quite a day,"Jade....... or so i call Mahal ko, My Girlfriend, My End, My Future.\nThis day happens to be quite interesting and also full of love.\nI know na naguumpisa pa lng kami sa aming forever journey.\nMay mga problems na need ma addressed may mga feelings to be heard \nand may mga pains na to be healed. Love it aint easy, but to be shared \nwith someone like my mahal, is to experience ease in traveling our partner \njourneys, all those memories we made mahal sobrang nakakataba ng puso\nsalamat sayo mahal ko. There can never be someone like you. Ill be your forever my precious Jade🌻",1728488100041.jpg,1728488100435.png,2024-10-09T15:35:01.102Z,0,
6707f5d6e688301845904181,Worst day VS Him 😳,"Pagkatapos ng Consultation na hndi pala tuloy umuwi na ako. Then narealized ko na wala me energy, walang gana gumalaw and miss na talaga ang mahal ko sobra. Naiiyak ako kasi, i feel lost talaga and useless. Everytime naiisip ko na you become successful and so productive nanliliit ako. Mahal napaisip ako do I really deserve a man like you. Kasi You almost perfect mahal ko and super fearless. Anyways mahal, even though ganun yung araw ko and umiyak. You never failed to make me happy and feel important. \r\n\r\nMahal I love youuu sorry kung hndi po kita pinayagan samahan ako ahh. I just want you to take your rest mahal ko. Mahal thank you for help mahal thank you for everything ngayon Araw also to your suprise. Mahal i am so proud to you and to your accomplishments today. I miss you mahal kooo 😭\r\n\r\nI LOVE YOU MAHAL KO 💖\r\n~🌻\r\n\r\n\r\n",1728574934800.jpeg,1728574934838.jpeg,2024-10-10T15:42:14.892Z,0,
6707f615e688301845904185,Missing You🌻,"Its kind of a sad day for me, cause im not able to see you my love but its okay, as you said magkikita pa naman tayo, but i cant help but miss you i miss your smell your face your eyes your smile i miss that sweet voice of yours, this day is full of missing you mahal ko. I knnow theres more tommorow so i better be strong. ill be heree mahal ko. Im yours always 🤍 I love you my girl!",1728574997318.jpg,1728574997408.jpg,2024-10-10T15:43:17.475Z,0,
67093e60e68830184590419b,"UNEXPECTED, Coffee Date?? ☕","Sooooo thatss that we were just chatting at discord doing our school activities then we realize that there were an announcement that there is going to be class in our Game Development Subject and we are going to have Long Quiz, I really miss my girl, Soon as I see here I remove my jacket then give it to her because she likes wearing it maybe it feels I'm hugging her. Then we decided to do a Coffee Date☕. We talk plan a little bit about our future together and some other things🌈.  Then we decided to go home turnout I forgot to give her her phone back so I took it home and also I told her to bring my jacket with her.\r\n     It was a happy😊 and exciting day for both of us. We didn't knew that we would see each other that day soo we were very happy. Me falling for you is UNEXPECTED just like you said, You falling in love with me is also UNEXPECTED. Us being together is UNEXPECTED. We didn't expect any of this but it made us very happy and thankful for each others love and presence💕. Mahal ko lets keep creating UNEXPECTED memories together forever even in the afterlife🔒. We slap those who ""bash"" our relationship the phrase ""Who would've thought🤔"". ""Sino nga bang magaakala na magiging tayo"". I promise you mahal ko I'm yours even in the afterlife 😘 no one can have llenllen but you. I love youuu soo so much MY QUEEN!!!👑",1728659039819.jpg,1728659040495.jpg,2024-10-11T15:04:00.699Z,0,
67094876e6883018459041a6,Coffee to Website Date ☕,"I am so thankful kanina kay Lord kasi we have on-site class. Lord, really knows how I miss you and want to see you earlier. Thank you, kasi sinamahan mo ako magkape at pumayag ka na KKB tayo. I know we are now official pero still ayaw ko padin po magpalibre ng magpalibre sayo kasi I have my own money and we are both student pa. Pero kapag nag ka work na tayo nako kahit ilan beses mo pa ako ilibre kahit araw arawin mo pa papayag ako. Also, Mahal I'm so sorry earlier alam mo na po yun. But I really wanted you to know na I love you so much and I am willing to take a risk for you and us. Mahal, Thank you for pushing and helping me to build my own portfolio website. Sorry kasi late na ako mag dinner. I was just enjoying lang din kasi yung pagkabuo ng website kahit si Chat gpt talaga nag ayus noon sa akin. hahaha 🤣😂. \r\n\r\nI love our date and quality today. It's gives me challenge, yung cellphone ko po na sayo. \r\n\r\nPlease I want you to be my forever and tell our love story to our future kids. \r\n\r\n",1728661622625.jpg,1728661622648.jpg,2024-10-11T15:47:02.791Z,0,
670a6ff5f36b63344155d5f6,Titig,"Hehe hiii!! Good day mahal ahmmm ayunnn, Salamat nga po pala sa suman mahal kooo hehee kinain natin kaninaaa umagaaa. Thennn ayun naa wee eat binilan kita cokeee tass cute mo kasiii wala ang cute mo kumain, thenn proceed na sa school for interviewww tas turns out na miss mo pala ko, i passed the intervieww then class na ni sir data priv, thenn inipitan kitaaa then superrr superr gandaa mo mahal as in superr, taposs nagigil ako sayooo kasii ang cute mo mahal ko. Tapos tinitigan kitaaa hehehe cutee mo din kasiiii ayunn lngg everyday talaga i keep on falling in love with you mahal kooo!! \r\nI look forward on memories like this, i love youu.",1728737268371.jpg,1728405146008.jpg,2024-10-12T12:47:49.448Z,0,
670afebdf9432a293dc9838e,Under his Jacket and Morning Forehead Kiss 🥰☺️,Hindi ako makapaniwala na boyfriend na kita. Inantay kita sa school ang tagal mo hahaha miss na kita eh. I really love when you hug meeeee like super. Mahal thank you for being understanding boyfriend. Pinapangrap ko na Boyfriend noon is maging understanding siya and maging close talaga sa family ko. Thank you for accepting me and my family mahal. Ang cute mo talaga noong napilitan ka mag silong us sa jacket mo hahaha. Ayaw mo po kasi maglabas ng payong eh. Mahal huhuhu salamat pala sa forehead kiss nagulay ako noong tumapat ka sa harapan ko para bigyan akonng Morning forehead kiss. Mahal alam mo yung titig mo kanina sa data privacy nako talaga kinikilig akoooooooo tae ka kasi eh. Tapos ang cool mo pa huhuhu.Mahallllll kooo salamat po sa treat na fishball and paghatid. Mahal alam mo I really love kapag nag wawalk tayo tapos nag uusap tapos madaldal ka. hehehehe Again I am so proud of you and to your achievements 💖\r\n\r\n\r\nayun lang mahallll ko I miss youuu🥺\r\n\r\n\r\n~🌻,1728773818637.jpeg,1728773819982.jpeg,2024-10-12T12:47:49.448Z,0,
